feature,mean_abs_shap
CYP2C9_*1/*1,0.8722192603540999
VKORC1_GG,0.5436984004014142
Renal_Function,0.3729209690828602
Height,0.3098519391167253
VKORC1_AA,0.2711906588113138
VKORC1_GA,0.1996555375814043
Weight,0.17500164961177841
CYP2C9_*1/*3,0.16032871641796403
Amiodarone_No,0.14880485210435276
Amiodarone_Yes,0.14880485210435274
Smoker_Yes,0.11325561646357217
Smoker_No,0.11325561646357205
Gender_Male,0.07920761606555153
Gender_Female,0.07920761606555128
CYP2C9_*1/*2,0.07381692174460054
Age,0.06969871534167417
CYP2C9_*3/*3,0.04930438849177552
CYP2C9_*2/*3,0.017157752276005304
CYP2C9_*2/*2,0.012158369633155395
Aspirin_Yes,0.011146338992726244
Aspirin_No,0.011146338992725982
CYP2C9_*1/*6,0.009296997249383987
Target_INR,0.005529582548939764
CYP2C9_*1/*14,0.0029243112015247914
CYP2C9_*1/*13,0.002861887877403404
CYP2C9_*1/*5,0.0025222283124930805
CYP2C9_*1/*11,0.0018735175680120342
CYP4F2_CC,0.0
