feature,mean_abs_shap
CYP2C9_*1/*1,1.2155596397690527
VKORC1_GG,0.6982112268248625
VKORC1_AA,0.6734583619137824
Smoker_No,0.4238842020636969
Smoker_Yes,0.4238842020636969
Age,0.3416247178339383
Renal_Function,0.2871386903234965
Weight,0.2182097373475581
Gender_Female,0.166798782270175
Gender_Male,0.16679878227017486
CYP2C9_*3/*3,0.12408115879294489
Target_INR,0.10436596299236625
CYP2C9_*1/*5,0.03766747876696696
CYP2C9_*2/*3,0.03568864798913446
VKORC1_GA,0.0320320099652934
CYP2C9_*1/*2,0.029743196669278684
CYP2C9_*1/*3,0.024832023806223763
CYP2C9_*1/*6,0.01970701820872778
Amiodarone_No,0.015856884764859677
Amiodarone_Yes,0.015856884764859188
Height,0.015024556639925652
Aspirin_Yes,0.011951567603180304
Aspirin_No,0.011951567603179145
CYP2C9_*1/*13,0.010481371899628871
CYP2C9_*2/*2,0.009386374762085774
CYP2C9_*1/*14,0.008052230151856587
CYP2C9_*1/*11,0.0031998039984730787
CYP4F2_CC,0.0
