feature,mean_abs_shap
VKORC1 A/A,3.6912047159308488
CYP2C9 *1/*1,3.613246513314504
VKORC1 G/G,3.539295852314305
Age_Num,2.97485431506386
Weight (kg),2.970874565880921
CYP2C9 *1/*2,0.947824723523278
Amiodarone,0.9013461843624994
Height (cm),0.8981404115578784
Enzyme_Inducer,0.5916907575795299
VKORC1 Unknown,0.46390505924961434
Race_Group_Other,0.4563353448522913
VKORC1 A/G,0.27389021741764147
CYP2C9 *2/*3,0.24217744077564082
CYP2C9 Other/Unknown,0.2173248456043231
Race_Group_Black,0.10020450942040511
Race_Group_Unknown,0.072788490437474
CYP2C9 *1/*3,0.01777222102164984
Race_Group_White,0.00569855847772707
CYP2C9 *2/*2,0.002483650603475951
Race_Group_Asian,0.0014827466920841166
CYP2C9 *3/*3,0.0
